"pwsid","category","service","base_cost","fixed_surcharge","total","vol_cost","vol_surcharge","zone_cost","zone_surcharge"
"CA0110001","inside","sewer",35.11,0,35.11,0,0,0,0
"CA0110001","inside","storm",0,0,0,0,0,0,0
"CA0110001","inside","total",63.41,0,137.14,0,0,0,0
"CA0110001","inside","water",28.3,0,102.03,73.73,0,0,0
"CA0110001","outside","sewer",35.11,0,35.11,0,0,0,0
"CA0110001","outside","total",63.41,0,148.19,0,0,0,0
"CA0110001","outside","water",28.3,0,113.08,84.78,0,0,0
"CA0110005","inside","sewer",7.3,7.8,26.98,11.88,0,0,0
"CA0110005","inside","storm",0,0,0,0,0,0,0
"CA0110005","inside","total",35.17,7.8,153.85,94.52,16.36,0,0
"CA0110005","inside","water",27.87,0,126.87,82.64,16.36,0,0
"CA0110006","inside","sewer",35.81,0,35.81,0,0,0,0
"CA0110006","inside","storm",0,0,0,0,0,0,0
"CA0110006","inside","total",51.81,0,165.45,0,0,0,0
"CA0110006","inside","water",16,0,129.64,113.64,0,0,0
"CA0110006","outside","sewer",35.81,0,35.81,0,0,0,0
"CA0110006","outside","total",54.21,0,150.63,0,0,0,0
"CA0110006","outside","water",18.4,0,114.82,96.42,0,0,0
"CA0110008","inside","sewer",13.2,81.76,94.96,0,0,0,0
"CA0110008","inside","storm",0,0,0,0,0,0,0
"CA0110008","inside","total",25.66,81.76,166.7,0,0,0,0
"CA0110008","inside","water",12.46,0,71.74,59.28,0,0,0
"CA0110009","inside","sewer",39.05,0,39.05,0,0,0,0
"CA0110009","inside","storm",0,0,1.92,0,0,0,0
"CA0110009","inside","total",56.63,3.1,123.58,0,2.09,0,0
"CA0110009","inside","water",17.58,3.1,84.53,61.76,2.09,0,0
"CA0110011","inside","sewer",58.93,0,58.93,0,0,0,0
"CA0110011","inside","storm",0,0,0,0,0,0,0
"CA0110011","inside","total",100.82,0,157.81,0,0,0,0
"CA0110011","inside","water",41.89,0,98.88,56.99,0,0,0
"CA0210002","inside","sewer",53.05,0,535.42,482.37,0,0,0
"CA0210002","inside","storm",0,0,0,0,0,0,0
"CA0210002","inside","total",82.34,3.35,734.89,649.2,0,0,0
"CA0210002","inside","water",29.29,3.35,199.47,166.83,0,0,0
"CA0300016","inside","sewer",32.89,0,32.89,0,0,0,0
"CA0300016","inside","storm",0,0,0,0,0,0,0
"CA0300016","inside","total",75.14,0,104.14,0,0,0,0
"CA0300016","inside","water",42.25,0,71.25,29,0,0,0
"CA0300019","inside","sewer",25,0,25,0,0,0,0
"CA0300019","inside","storm",0,0,0,0,0,0,0
"CA0300019","inside","total",75,0,79,0,0,0,0
"CA0300019","inside","water",50,0,54,4,0,0,0
"CA0310001","inside","sewer",38.05,10.6,48.65,0,0,0,0
"CA0310001","inside","storm",0,0,0,0,0,0,0
"CA0310001","inside","total",65.54,10.6,128.11,0,0,0,0
"CA0310001","inside","water",27.49,0,79.46,51.97,0,0,0
"CA0310002","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310002","inside","storm",0,0,0,0,0,0,0
"CA0310002","inside","total",140.16,16.62,195.92,0,0,0,0
"CA0310002","inside","water",31.34,16.62,87.1,39.14,0,0,0
"CA0310003","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310003","inside","storm",0,0,0,0,0,0,0
"CA0310003","inside","total",140.16,16.62,195.92,0,0,0,0
"CA0310003","inside","water",31.34,16.62,87.1,39.14,0,0,0
"CA0310005","inside","sewer",32.89,0,32.89,0,0,0,0
"CA0310005","inside","storm",0,0,0,0,0,0,0
"CA0310005","inside","total",75.51,0,138.76,0,0,0,0
"CA0310005","inside","water",42.62,0,105.87,63.25,0,0,0
"CA0310006","inside","sewer",57.75,0,57.75,0,0,0,0
"CA0310006","inside","storm",0,0,0,0,0,0,0
"CA0310006","inside","total",107.65,0,171.37,0,0,0,0
"CA0310006","inside","water",49.9,0,113.62,63.72,0,0,0
"CA0310012","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310012","inside","storm",0,0,0,0,0,0,0
"CA0310012","inside","total",140.16,16.62,195.92,0,0,0,0
"CA0310012","inside","water",31.34,16.62,87.1,39.14,0,0,0
"CA0310019","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310019","inside","storm",0,0,0,0,0,0,0
"CA0310019","inside","total",140.16,16.62,195.92,0,0,0,0
"CA0310019","inside","water",31.34,16.62,87.1,39.14,0,0,0
"CA0310021","inside","sewer",108.82,10.8,119.62,0,0,0,0
"CA0310021","inside","storm",0,0,0,0,0,0,0
"CA0310021","inside","total",140.16,19.53,198.83,0,0,0,0
"CA0310021","inside","water",31.34,8.73,79.21,39.14,0,0,0
"CA0405001","inside","sewer",32.89,0,32.89,0,0,0,0
"CA0405001","inside","storm",0,0,0,0,0,0,0
"CA0405001","inside","total",64.19,16.03,117.95,0,0,0,0
"CA0405001","inside","water",31.3,16.03,85.06,37.73,0,0,0
